學號,成績二一三二紀錄
410076131,
410076132,
410076133,
410076134,
410076135,
410076136,
410076137,
410076138,
410080099,
410081056,
410081057,
410081058,
410082099,
410172092,
410174201,
410174202,
410174203,
410174204,
410174205,
410174206,
410174207,
410174208,
410174209,
410174210,
410174211,
410174212,
410174213,
410174214,
410174215,
410174216,
410174217,
410174218,
410174219,
410174220,
410174221,
410174222,
410174223,
410174224,
410174225,
410174226,
410174227,
410174228,
410174229,
410174230,
410174231,103/2 達二一預警標準
410174232,
410174233,
410174234,103/2 達二一預警標準
410174235,
410174236,
410174237,
410174238,103/1 達二一預警標準
410174239,
410174240,
410174241,
410174242,
410174243,
410174244,
410174245,
410174246,
410174247,
410174248,
410174250,
410174251,
410174252,
410174253,
410174254,
410174255,
410174401,
410174402,
410174403,
410174404,
410174406,
410174407,
410174408,
410174409,
410174410,
410174411,
410174412,
410174413,
410174414,
410174415,
410174416,
410174417,
410174418,
410174419,
410174420,
410174421,
410174422,
410174423,
410174424,
410174425,
410174426,
410174427,
410174428,
410174429,
410174430,
410174431,
410174432,
410174433,
410174434,
410174435,
410174436,
410174437,
410174438,
410174439,104/2 達二一預警標準
410174440,
410174441,
410174442,
410174443,
410174444,
410174445,
410174446,
410174447,
410174448,
410174449,
410174450,
410174451,
410174452,
410174453,
410176001,
410176002,
410176003,
410176004,
410176005,
410176006,
410176007,
410176008,
410176009,101/1 達三二預警標準
410176010,
410176011,
410176012,
410176013,
410176014,
410176015,
410176016,
410176017,
410176018,
410176019,
410176020,
410176021,
410176022,
410176023,
410176024,
410176025,103/1 達二一預警標準
410176026,
410176027,
410176028,
410176029,
410176030,
410176031,
410176032,
410176033,
410176034,
410176035,
410176036,
410176037,
410176038,
410176039,
410176040,
410176041,
410176042,
410176043,
410176044,
410176045,
410176046,
410176047,
410176048,
410176049,
410176050,
410176051,
410176052,
410176053,
410176054,
410176055,
410176056,
410176057,
410176058,
410176059,
410176060,
410176061,
410176062,
410176063,
410176064,
410176065,
410176066,
410176067,
410176068,
410176069,
410176070,
410176071,
410176072,
410176073,
410176074,
410176075,
410176077,
410176078,
410176079,
410176080,
410176082,
410176083,
410176084,
410176085,
410176086,
410176087,
410176088,
410176089,
410176090,
410176091,
410176092,
410176093,
410176094,
410176095,
410176097,
410176099,
410176100,
410176101,
410176102,
410176103,
410176104,
410176105,
410176106,
410176107,
410176108,
410176109,
410176110,
410176111,
410176112,
410176113,
410176114,
410176115,
410176116,
410176117,
410176118,
410176119,
410176120,
410176121,
410176122,
410176123,
410176124,
410176125,
410176126,
410176127,
410176128,
410176129,
410176130,
410176131,
410176132,
410177001,
410177002,
410177003,
410177004,
410177005,
410177006,
410177007,
410177008,
410177009,
410177010,
410177011,
410177012,
410177013,
410177014,
410177015,
410177016,
410177017,101/1 達二一預警標準
410177018,
410177019,
410177020,
410177021,
410177022,
410177023,
410177024,
410177025,
410177026,
410177027,
410177028,
410177029,
410177030,
410177031,
410177032,
410177033,
410177034,
410177035,
410177036,
410177037,
410177038,
410177039,101/1 達二一預警標準
410177040,
410177041,103/2 達二一預警標準
410177042,
410177043,
410177044,
410177045,
410177046,
410177047,
410177048,
410177049,
410177050,
410177051,
410177052,
410177053,
410177054,
410177055,
410177056,
410177057,
410177058,
410177059,
410177060,
410177061,
410177062,
410177063,
410177064,
410177065,
410177066,
410177067,
410177068,
410177069,
410177070,
410177071,
410177072,
