學號,10101性別,10102性別,10201性別,10202性別,10301性別,10302性別,10401性別,10402性別,10101身分甲,10102身分甲,10201身分甲,10202身分甲,10301身分甲,10302身分甲,10401身分甲,10402身分甲,10101身分乙,10102身分乙,10201身分乙,10202身分乙,10301身分乙,10302身分乙,10401身分乙,10402身分乙,10101身分丙,10102身分丙,10201身分丙,10202身分丙,10301身分丙,10302身分丙,10401身分丙,10402身分丙
410076131,女性,女性,女性,女性,女性,女性,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-,轉學生,轉學生,轉學生,轉學生,轉學生,轉學生,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-
410076132,女性,女性,女性,女性,女性,女性,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-,轉學生,轉學生,轉學生,轉學生,轉學生,轉學生,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-
410076133,男性,男性,男性,男性,男性,男性,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-,轉學生,轉學生,轉學生,轉學生,轉學生,轉學生,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-
410076134,女性,女性,女性,女性,女性,女性,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-,轉學生,轉學生,轉學生,轉學生,轉學生,轉學生,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-
410076135,女性,女性,女性,女性,女性,女性,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-,轉學生,轉學生,轉學生,轉學生,轉學生,轉學生,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-
410076136,男性,男性,男性,男性,男性,男性,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-,轉學生,轉學生,轉學生,轉學生,轉學生,轉學生,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-
410076137,女性,女性,女性,女性,女性,女性,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-,轉學生,轉學生,轉學生,轉學生,轉學生,轉學生,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-
410076138,男性,男性,男性,男性,男性,男性,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-,轉學生,轉學生,轉學生,轉學生,轉學生,轉學生,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-
410080099,女性,女性,-,-,-,-,-,-,大陸地區學生,大陸地區學生,-,-,-,-,-,-,交換學生,交換學生,-,-,-,-,-,-,一般生,一般生,-,-,-,-,-,-
410081056,女性,女性,女性,女性,女性,女性,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-,轉學生,轉學生,轉學生,轉學生,轉學生,轉學生,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-
410081057,女性,女性,女性,女性,女性,女性,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-,轉學生,轉學生,轉學生,轉學生,轉學生,轉學生,-,-,一般生,一般生,一般生,一般生,一般生,一般生,-,-
410081058,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,轉學生,轉學生,轉學生,轉學生,轉學生,轉學生,轉學生,轉學生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410082099,女性,女性,女性,女性,女性,女性,女性,女性,外籍生,外籍生,外籍生,外籍生,外籍生,外籍生,外籍生,外籍生,交換學生,交換學生,交換學生,交換學生,交換學生,交換學生,交換學生,交換學生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410172092,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174201,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174202,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174203,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174204,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174205,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174206,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174207,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174208,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174209,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174210,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174211,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174212,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174213,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174214,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174215,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174216,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174217,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174218,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174219,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174220,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174221,女性,女性,女性,女性,-,-,-,-,一般生,一般生,一般生,一般生,一般生,-,-,-,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,-,-,-,一般生,一般生,一般生,一般生,一般生,-,-,-
410174222,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174223,女性,女性,女性,-,-,-,-,-,一般生,一般生,一般生,-,-,-,-,-,指考分發生,指考分發生,指考分發生,-,-,-,-,-,一般生,一般生,一般生,-,-,-,-,-
410174224,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
